Date,User,v,a,Tweet
11-19-18 19:27,Rainbow_Sammie,5.66,4.57,"wellbeing assessment done, feels good that someone else actually understands why i'm feeling how i do with my MH and that i'm not attention seeking like some people think been offered a 4 week stress programme to see if that helps the anxiety issues so fingers crossed it does"
11-19-18 19:27,pinkskiesmegan,5.46,4.52,I had the WORST anxiety the last time I saw Troye I need a new show so I can have new memories to replace the crappy ones
11-19-18 19:27,LauraGomezLRG,4.65,4.43,RT @JayyKess: Me: *Buys concert ticket* my brain: don't think it don't think it don't think it don't think it don't think it Anxiety: the band doesn t want to see you
11-19-18 19:28,OParenting,5.97,4.6,RT @AnxietyAches: Have a Healthy Holiday https://t.co/VQtd1WgQi4 #anxietyproblems #mentalHealth #Anxiety
11-19-18 19:28,JenneTheGreat,4.98,4.45,RT @ItsPinkyy_: @Blayofficial Isn t Charlamagne the same one that bleached his skin because his anxiety made him insecure about his skin colour & Dj Envy got big mad when someone clowned him & his wife on their podcast
11-19-18 19:28,JT_Rev2,5.6,4.25,Having suffered with anxiety and depression for the last 13 years it's a constant battle. But being able to open up to people can be life changing! Don't be shy. Talk! #InternationalMensDay
11-19-18 19:28,esentialyours16,5.73,3.97,New item from my #etsy shop: Hempseed Essential Oil - Tranquility/Relaxation Blend #rollerbottle #anxiety #relaxation #tranquility #nervoustension #stress #essentialoils #hempseed #hemp  https://t.co/Lz9YhGDNUR
11-19-18 19:28,KourtneyBarron4,4.93,5.09,"Ya ll ever have dreams about people you haven t met? And in the dream, meeting goes terribly wrong and then you re anxiety is even higher about ACTUALLY meeting them. Just me?"
11-19-18 19:28,monster_anxiety,2.22,6.74,Waking up with a panic attack. #anxietyproblems
11-19-18 19:28,pondromon,5.45,4.82,"Wuddya thinkga THAT, MAGGUL? spaghetti this moment of names and shitty perfume I WIN i do you have anxiety but I drink bud"
11-19-18 19:28,denimjordans,4.02,4.88,"anxiety at 630 am, holy fuck"
11-19-18 19:28,BookdragonBeth,5.44,4.85,"RT @say_shannon: Proud of myself today   after five years, I finally braved the doctor and got some medicine for my anxiety. As the pharmacist kindly said, sometimes you just need a bit of help."
11-19-18 19:28,HeatherTrickey,6.05,3.89,RT @ARCantenatal: Pleased to be involved in this as we know from contact on our helpline how important it is to ensure women are given clear evidence-based information in pregnancy (at what can be an anxiety-laden time for some). https://t.co/9hLT2XvGHS
11-19-18 19:28,80sswayze,5.08,4.84,Oh shit one of my best friends just texted and i might mistakenly spill to her cos I'm so happy....fuck my anxiety for making me think the WORST tho https://t.co/ZTX369xCIJ
11-19-18 19:28,noppertjo,6.08,5.44,@keelbytje @LoveAlwaysBex Other people preparing for DCC: - tickets - money - party mood Me: - tickets - money - get my anxiety under control ????
11-19-18 19:28,crunchypeachboi,4.74,4.45,u know it s sudoku time when it s 5:30am and anxiety has Taken You Away
11-19-18 19:29,thatsmyq__,5.03,3.63,RT @Joneisha_:  Cast all your anxiety on him because he cares for you.  1 Peter 5:7 NIV
11-19-18 19:29,LenDemetriou,6.48,4,RT @MatthewHotopf: Join us for our MOOC on integrating mental and physical healthcare - starts 14th January https://t.co/uEkXo4uwlV @IMPARTSP @KingsIoPPN @kingshealth @HINSouthLondon
11-19-18 19:29,thesecretpsych,6.22,4.83,RT @ruthinrevolt: Morning friends! ?? I just did some running outside in public for the first time in my adult life so today is a win. Anxiety who? ?? What are YOU going to make happen today? I believe in you! ??#MondayMotivation
11-19-18 19:29,keannaxdenise,2.78,4.82,anxiety is bAd 2dAy
11-19-18 19:29,dietmtdewbby,6.71,4.46,"By the way guys, I recommend the app  What s Up?  so much. It s a really good app that helps you to deal immediately with anxiety as well as helping you to cope in the future as well. And it s completely free."
11-19-18 19:29,silk122,4.33,4.73,RT @T_Nation: New Tip: A Japanese Method of Stress & Anxiety Control https://t.co/SSgjaaqfpt
11-19-18 19:29,Lionstar1610,5.28,4.36,RT @the_spider_stan: The bags under my eyes are big enough to hold all my anxiety Gucci could never
11-19-18 19:29,minkyewon,4.76,4.53,can my stupid anxiety just go tf away already i want 2 cry : -)
11-19-18 19:29,YoongFrever,5.65,4.34,Try to be responsible as the elder one. Please build a healthy relationship with your younger siblings. Don t go months without talking to them. The adverse effect I ve faced over the years is not nice. My sister was the reason of my first anxiety attack. Don t let that happen
11-19-18 19:29,tashaaaaaaa,5.83,3.88,I had a forgot-to-make-syllabus anxiety dream last night.
11-19-18 19:29,strugglingsloth,3.92,5.26,Me @ my anxiety: hoe don t do it
11-19-18 19:29,kafi_anxiety,4.99,4.47,RT @empyreall: LMAOOOOOOOOOOOOOOOOOOOO prime example why i dont like you ashy ass niggas.... https://t.co/W8EZ5x1z5c
11-19-18 19:30,OriginalRickP,5.63,4.75,RT @UMich2016: Update : 6 days until the Ohio State game. Anxiety levels rising. This is gonna be a long week.
11-19-18 19:30,yvxmin__,3.97,5.04,"RT @nick_stufano63: @_CourtneyGhee @dollargeneralho @deanofnothing @emiibread Anxiety attack : worry, dread, stress, but at least i know i have something stressful going on. Panic attack: life s going great. Wait a second my heart just beat weird, i must be dying. Three hours of impending doom later, I m still alive."
11-19-18 19:30,Ella280697,5.93,4.09,thanks anxiety it was nice of you to swing by
11-19-18 19:30,DomonicCasey,5.69,4.62,imagine having anxiety attacks in your lectures lol ??
11-19-18 19:30,RocketMan6510,4.97,4.96,"RT @demian_goldmund: Academics are afraid to return Turkey - Voice of America ""Intimidation spreading to citizens in waves, facing regime keeping anxiety created intimidating environment alive as strategy of social control + pressure within Turkey + abroad"" - https://t.co/w0LEGoxopd via @NewsNowUK"
11-19-18 19:30,TeamAvonista,5.11,4.15,"RT @JSoLworld: Dear depression & anxiety, I m so over you. Thank you, next"
11-19-18 19:30,thesecretpsych,5.49,3.9,RT @MarkWilliamsFMH: #InternationalMensDay One in 10 dads reporting symptoms of Paternal Postpartum Depression 17% of dads reporting symptoms of anxiety 92% of parents reporting increased conflict in the first year of family 67% reporting a decline relationship satisfaction in the first 3 months. https://t.co/rsvgBnI1zu
11-19-18 19:30,mindfullmommy,5.72,4.16,Thanksgiving is around the corner. When you have a highly sensitive child the holiday season can cause you quite a bit of anxiety. Here are a few... https://t.co/BP8TXec6ss
11-19-18 19:30,nicolegertrude,5.13,3.88,"Anxiety about this is going to keep me up all night, I bet."
11-19-18 19:30,yvxmin__,4.72,5.21,"RT @dollargeneralho: @deanofnothing @emiibread My biggest peeve is people using the wrong term. Most people don t get panic attacks. They come on without warning and that makes grounding techniques not always work. Anxiety attack, however, come on when your body is handling too much anxiety and stress."
11-19-18 19:30,prod_amir,2.45,5.38,Anxiety is a bitch.
11-19-18 19:30,LWCounsels,6.38,4.24,"It s nearing the Thanksgiving and some of us may be experiencing some anxiety about seeing your family or perhaps your partner s family. Today, I ll share a couple quick reads in how to prepare for your visit. Most importantly, be you! https://t.co/ZBKKbuG9w2"
11-19-18 19:30,ETHEREALB0Y,4.3,4.61,RT @dollargeneralho: @emiibread Anxiety attacks are for a reason. Panic attacks occur for no reason.
11-19-18 19:30,Bebejacobsarto1,4.27,4.71,"RT @jacobsartorius: We all got beating hearts, we all have bad days, we all deal with anxiety, depression, and loneliness..."
11-19-18 19:30,ggukclosetfilms,3.86,4.8,"RT @everboyz: idk but i think this film tacles about depression, anxiety, and suicide... https://t.co/lC2iuGWTnk"
11-19-18 19:30,simbetterme,6.14,5.32,Your child redefines what happiness and anxiety mean in your life. #parenting #introvert
11-19-18 19:30,dorabum,4.23,4.5,11 Essential Oils for Anxiety https://t.co/hwc6MPWDzN via @relaxnatural
11-19-18 19:30,Lois_Savage96,2.58,5.32,My anxiety is through the bloody roof
11-19-18 19:30,Global_H_Pharma,6.45,3.96,"Whether you're concerned about your mental health or a loved one, these helplines and support groups can offer expert advice: https://t.co/JIdPaohfeE #InternationalMensDay"
11-19-18 19:30,lonerdays,5.88,4.2,so this girl literally said that i didn t have to be shy and i can just talk to people..!! bish IT S CALLED ANXIETY
11-19-18 19:30,millietoro_,3.09,4.5,I gotta cancel my anxiety in 2019.
11-19-18 19:30,daydreamin_star,5.17,4.31,"As if today wasn't anxiety inducing enough, now I have no idea when I'll get the call because they called too early and I had to argue to get back on the list. I am so done with this ?? So I'm ignoring the world and reading A Curse So Dark and Lonely while on my way to Notts! ??"
11-19-18 19:30,haleybowens_,5.5,4.82,"RT @kefalletta98: i give my boyfriend so much credit, dealing w me and my anxiety is not easy but he always knows exactly how to help me????"
11-19-18 19:30,Faded_Paradox,5.03,4.29,"All-nighters are spooky bc they usually turn into me staying up for 3 days due to FOMO, anxiety, and overconsumption of caffeine ??"
11-19-18 19:30,Hertslifeskills,5.84,4.57,Is #Anxiety stopping you from doing the things you want to do? If you live in #Herts and would like some practical support to help you manage the symptoms and identify the triggers I could help. https://t.co/CJlPeH0YXt #wellbeing #mentalhealth
11-19-18 19:31,stefday10,5.13,4.38,"RT @Spreading_L0ve: *phone rings* My anxiety: Don t answer Don t answer Don t answer Don t answer Don t answer Don t answer *phone stops ringing* Me: phew, that was a close one!"
11-19-18 19:31,Luisantonia,4.84,4.47,"RT @iwritethings23: It s #InternationalMensDay & with suicide the biggest killer of men under the age of 50, I decided to really delve into the importance of men talking about their mental health for the @EDP24 calling on my own experiences with depression & social anxiety. https://t.co/W2PEZXLMJn"
11-19-18 19:31,muraliks_11,5.5,4.98,"RT @vakibs: @subhashkak1 In contrast, pagan societies had very little rape and sexual violence. When western women see this to be the case, it creates anxiety to the western male. This was seen as threatening to the sense of civilizational superiority of the west and of the ""holy book"" religions. https://t.co/2a8uzjB3Jf"
11-19-18 19:31,tesspet224,4.55,3.71," Every Naija Politician Is Now A Walking Anxiety, Including Me - Maria Ude Nwachi Explodes, As Political Campaigns Commence https://t.co/mXMW7YSWAS"
11-19-18 19:31,Mariam68824410,5.79,4.27,We are currently working on a 'Thought Record Sheet' as groups to identify our unhelpful thoughts and challenging them with facts and evidence to help us if anyone is experiencing anxiety. #tito_ao
11-19-18 19:31,SharnaBanana18,4.75,4.44," If you exclude my anxiety, daddy issues and alcoholism, I m a really great person to have around "
11-19-18 19:31,SanaAhmad31,2.56,4.3,RT @nargizmo: me: hi my anxiety: shut up ur fat
11-19-18 19:31,mochiboom,4.09,4,my email anxiety will be the death of me
11-19-18 19:31,xtoniah,4.17,5.27,So. Fed. Up. Of. Having. Anxiety.
11-19-18 19:31,elisabetedraws,5.8,4.52,https://t.co/n9T2gc9Flg 3 Common Back Problems and Ways to Solve Them #beauty #beautiful #health #healthy #weight #loss #anxiety #sleep #insomnia #dating #dream #dreams #recipes #recipe #cooking#bed #night #depression #back #muscles #problems https://t.co/GO0mu5Pkd9
11-19-18 19:32,girllitasf,4.73,4.3,"@Baey_Blade dont tell me, i m an anxiety patient n a recovering depressed, my mind is my cage"
11-19-18 19:32,Motoconomist,5.71,4.98,"Three life experiences (birth of my daughter, getting medically treated for anxiety, and being dx'ed with a rare form of hydrocephalus) also showed me that (a) how limited stat analysis is and (b) when it is done, its many times done poorly. https://t.co/GUVPDXhYtF"
11-19-18 19:32,oIzanskisides,5.44,4.47,RT @armtatt: michael and crystal sat down with a fan after soundcheck when she had an anxiety attack GOD I LOVE THEM AND THEIR BIG ASS HEARTS SO MUCH https://t.co/DPAmcJbSJN
11-19-18 19:32,ValkyrieVolta_,5.31,4.27,"Hi yes all questions about my behavior and choices can be answered with  I have Depression. ,  I have Anxiety. , and lastly  I wasn t socialized as a child and I do not know how to behave around other human beings but I am trying  thanks."
11-19-18 19:32,choomchimchim,5.18,4,"the anxiety of being ignored because you don't know what each other well (esp. what my previous students do to me, and I them). There's a certain calm in living peacefully, walking the streets not knowing anyone or meeting anyone who will judge you on how you look, what job you"
11-19-18 19:32,choomchimchim,5.98,4.58,"im so glad that im not living in the cities where 1) i studied primary and secondary sch in, 2) i taught for the first time. im also glad that all my college classmates are not here in the city im living in. Imagine the anxiety of meeting ppl u blocked on sns in real life plus"
11-19-18 19:32,angelogofrizzy,4.12,4.56,Panic Attacks and Anxiety Episodes Linked to Vitamin Deficiencies in Groundbreaking Study https://t.co/JiaqWKXWJG
11-19-18 19:32,madsadmood,5.72,4.63,Anxiety: aren't you worried? Me: aren't you? A: about what? M: about the fact that I'm not worried A: oh my God you're right https://t.co/lpDPoMGOa8
11-19-18 19:32,muntma,5.22,4.82,"RT @statnews: Opinion: ""Postpartum depression is not uncommon, and yet many parents are scared to talk about it."" https://t.co/K1rsgmy4As"
11-19-18 19:32,Gustav_GSP,5.97,4.23,"Even tho depression an anxiety is taking its toll on me.. My value, worth and abilities did not diminish.. Thank you my beautiful boy and daughters, my family and friends for all the prayers and support.. I realize... https://t.co/kEBP4FiXiF"
11-19-18 19:32,heroiqn,2.16,5.13,Anxiety is killing me
11-19-18 19:32,AmandaAstall,6.28,3.87,RT @Parkerlawyer: I once talked to a dr about anxiety and he said to close my eyes and imagine being next to a peaceful stream and then I had anxiety about being swept away in that stream and drowning if you wanted to know how easy it is for me to relax.
11-19-18 19:32,45lik7arti1,4.29,4.13,Ofc get some anxiety xd https://t.co/q1gQ5Pqj5o
11-19-18 19:32,Silverstar952,5.18,4.34,"Mental health should be taken seriously, Depression is never attention seeking, Anxiety is never attention seeking, Phobia is not overreacting, It all happens because of certain trauma or negative incidents and only worsens when people surrounding that one individual"
11-19-18 19:33,Fiinia_Official,5.89,4.77,"I went to buy two 410ml sodas today. The cashier didn't ask me if I wanted a bag. I expected her to give me a plastic bag like she usually does. But she didn't, and I got anxiety so I couldn't ask for a bag. So now I got820ml soda in my small computer bag. https://t.co/v5ADubP72w"
11-19-18 19:33,KassidyStambaug,5.4,4.41,RT @eadscarly: Anxiety while driving at night is at an all time high
11-19-18 19:33,lllebasiii,4.92,4.59,RT @MlNAASHIDO: can you guys really just. not retweet that shit that says  retweet or this will be your worst month/you ll die/get acne/blah blah . it s 2018 those are made for retweets and don t mean anything. they re just annoying and give people anxiety
11-19-18 19:33,mooiglimlach,6.76,4.78,Don't let your anxiety wins over you. Think any happy thoughts and as much as possible be positive.
11-19-18 19:33,its_dames_dawg,6.51,4.07,Please say a prayer for the rest of us ???? the anxiety is a lot #AddSomeFlavour #FlavourOdyssey @FlyingFishSA https://t.co/kr3qucGOqr
11-19-18 19:33,LuvDeniece,5.28,4.1,"RT @jadexcel: Remember depression, anxiety and discouragement are real. Take the initiative and call up folks you suspect. Jah bless and good morning temporary residents. Pr24:10."
11-19-18 19:33,thartman2u,5.49,4.47,RT @UjjRam thanks to @DrHowardLiu - #anxiety #Students #education @fastcrayon #unmciae #HigherEducation #teaching @ChildMindInst https://t.co/2Z6gVbD2KH
11-19-18 19:33,sisterskylarr,4.77,4.62,idk if it s anxiety but my heart feels like i m anxious but i m severely depressed. like my heart feels sad. and i feel everything but nothing? idk bye.
11-19-18 19:33,NIKBENJAMN,5.4,4.44,"Drowning in anxiety, a fear of failure and trying to persuade my mom to sign off on a crib. Typical day, this must be fame"
11-19-18 19:33,scathykitty,5.46,5.28,The anxiety of not knowing what's gonna come out despite already swallowing the whole book is just ????
11-19-18 19:33,VinjwaZandile,2.72,5.38,@BhongoDolomba Battling depression and anxiety. .
11-19-18 19:33,Habeeb_Mdk,4.9,3.87,RT @scarfizal: 2019 poll: Anxiety in PDP as Atiku s policy plan extends to second term - The Nation Nigeria https://t.co/7Wo6G0ambA
11-19-18 19:33,Jaydholland,6.61,4.52,"No family is perfect. Every family needs grace. And most likely, you re the cause of other family members  anxiety too! Love well, be intentional, and have hope. https://t.co/z6Q2UaqDri via @jaydholland"
11-19-18 19:33,mctorregosa,5.96,4.48,"RT @AlanThePrince: Taylor Swift repeating  Are we out of the woods?  over and over again as a metaphor for anxiety is so GENIUS, this is EXACTLY how it feels like. She really deserves it when critics call her one of the best songwriters of all time.  the monsters turned out to be just trees.  https://t.co/PL6NmGA62k"
11-19-18 19:33,immymulekatete,6.02,4.3,"RT @NARwanda: ""Dear young people, your pain & anxiety make sense. It s not in your head. We live in a world that doesn t meet our basic needs for connection, for meaning, for purpose, for a sense of the future."" ?? Read from the youth on the enormity of #mentalhealth: https://t.co/nY3rxBJriX https://t.co/pUzPZFPyyf"
11-19-18 19:33,biancakeeees,2.78,4.4,Anxiety damn
11-19-18 19:34,bicameral,5.65,4.5,Sour Girl Autoflowering Cannabis Seeds. A strain that gives you an uplifting cerebral body buzz. Easy 2 grow with high yield both in & outdoors! Perfect 4 first time growers with a long lasting sativa effect while great 2 reduce stress/anxiety! Learn more: https://t.co/75UCwWf30P https://t.co/znO8fRPYf3
11-19-18 19:34,_DennisNjuguna_,5.57,4.37,RT @FreeTrendy_: the amount of space between the cookies and ranch gives me anxiety https://t.co/13CNTlOn1G
11-19-18 19:34,kyeultra,5.12,4,CRY. ITS CATHARTIC. LET IT OUT. DONT RUN FROM YOUR EMOTIONS OR ANXIETY OR DEPRESSION. THEY WILL FUCK YOU UP IF YOU DONT ACKNOWLEDGE THAT THEY ARE THERE. ACCEPT THEM AS YOU ACCEPT A CHANGING SKY. THEY RE JUST CLOUDS MOVING ON BY. THEY DON T DEFINE YOU.
11-19-18 19:34,22Ticks,5.01,4.08,Best Anti Aging Skin Care and Natural Remedies for Anti Aging . Anti-aging has been a major source of anxiety in https://t.co/BZpJTLBE8E https://t.co/x7XUhWB98O
11-19-18 19:34,becccaaaaaa1,4.83,5.45,RT @sosadtoday: i have enough anxiety for 10 people
11-19-18 19:34,whingiikari,4.96,4.2,is it the humidity that s making my anxiety and mania extra present today or is it the fact that i haven t had my blood pressure meds for two days ??
11-19-18 19:34,httpxxi,4.48,5.18,"Me atm.. Depression and Anxiety: Hi! ???? Me: Goodnight ?????? Panic attack: You thought you can sleep? ?? nah, not gonna let you. (attacks me) Me: *Sweating and palpitating* bitchhhh ??"
11-19-18 19:34,justdoit9ja,4.7,3.82,2019 Poll: Anxiety In PDP As Atiku's Policy Plan Extends To Second Term https://t.co/Csj0ZnpglU
11-19-18 19:34,twcarpentry,6.38,4.56,"RT @NickElston_: Did you know that I help people to create & deliver authentic, powerful & emotional #Wedding #Speeches? It could be the only time a person will speak publicly - so I understand more than most how #Anxiety can really hold you back! Getting married in 2019? Let's grab a chat! https://t.co/ubK9N9lyt3"
11-19-18 19:34,invisibleman_17,5.68,4.99,"RT @invisibleman_17: #MentalIllnessMeans That since I have #PTSD and now anxiety disorder the people around me no longer understand and judge me, while I try to do my best with help. Put an arm around these people who are going through a difficult time... Love #Tim #TakeCare https://t.co/6Ei1UFDAsh"
11-19-18 19:34,FrkTeigen,4.01,3.94,The wisdom of insecurity for an age of anxiety - on the taboo against knowing who you are - alan watts https://t.co/HDoill3SRg
11-19-18 19:34,BarbieSgrills,4.53,4.55,"RT @jeffreymiamii: If you have Social anxiety, Depression, goin through shit, Have suicidal thoughts, been bullied, Felt rejected by society Retweet this tweet lets follow each other and know ourselves and supporteach other https://t.co/CF6C31FQz3"
11-19-18 19:34,SurreyCareTrust,5.83,4.54,The dog who gives school 'another layer of happiness' by helping children with anxiety https://t.co/eJDcu6uIjp
11-19-18 19:34,_joietan_,5.19,4.46,RT @ahngxl: a day in the life of a horrendous procrastinator: oh ok now im guilty for not having any work done but i'm still not in the mood to do any so i'll just sit here and rest in anxiety until i feel the cripplingtime pressure settle in. all cool. haha. https://t.co/uxYEDdLnKW
11-19-18 19:34,justdoit9ja,4.7,3.82,2019 Poll: Anxiety In PDP As Atiku's Policy Plan Extends To Second Term https://t.co/3MipRmK9qA davido wizkid Nigeria
11-19-18 19:34,Mas_oud_Mboyi,5.34,4.1,RT @DailyPsychologQ: When thinking about life remember this: no amount of guilt can solve the past and no amount of anxiety can change the future
11-19-18 19:34,GameofTravis,4.58,4.83,@Octav1usKitten I ve been battling depression and anxiety all my life and it was heightened over the past few years after the suicide of my older brother. The pain will never go away and there are days I just want to throw in the towel.
11-19-18 19:34,maatinz,4.68,4.61,RT @FactsProfessor: NASA claims that no behavioral emergencies have been reported in space  but a few mood and anxiety disturbances have occurred.
11-19-18 19:34,snixieee,3.92,4.87,RT @dejvruix: i hardly get anxiety attacks but when I do they re bad.
11-19-18 19:34,timzoozoo,4.22,4.34,someone send me crackhead cc s because my anxiety over moving today is INSANE and i need distractions :) https://t.co/7t2CDZT8wf
11-19-18 19:34,NonosbahM,5.37,5.37,RT @nlqualls: @NonosbahM Anxiety makes me go ghost sometimes. Makes me not follow through. I have a really hard time with money.
11-19-18 19:34,SoftWarmEevee,4.38,4.18,"Let me begin with the reason for this completely unprompted thread: I have two major tests today that are causing me major anxiety. I can t think about anything else besides them and it s constantly making me sickto my stomach, and anxious, and afraid."
11-19-18 19:35,starkstucky,5.26,4.34,She helped me see that anxiety attack may be sometimes positive. That it meant that I wasn t always in the past. She taught me how to handle PTSD on a daily basis and now I have to keep going alone and it s stressful but I know I can do it.
11-19-18 19:35,SomalilandFocus,5.23,4.7,RT @Rooble2009: Somali Everett student develops teen anxiety mobile app https://t.co/3uQCZcqu2E
11-19-18 19:35,calvertnc,5.07,4.7,#Movember moves target updated to 150 km while donations catch up to  100 raised. Doing #Movember2018 to raise #awareness of #menshealth #mentalhealth #depression #anxiety #testicularcancer #cancer#suicide Donate via the link in my bio https://t.co/kh5Imea5mh
11-19-18 19:35,amberthecanuck,6.01,4.66,"RT @helenbevan: Research suggests that having a strong psychological connection to your boss means you're more likely to feel ""increased attention"" than ""strong anxiety"" when faced with a challenging task. An interesting view linked to psychological safety: https://t.co/Eo0wzOCijI Via @wef https://t.co/3fr4JL7K0q"
11-19-18 19:35,ShadDiamandis,3.36,4.54,My anxiety when I miss my medications https://t.co/lrAX1Xl9Et
11-19-18 19:35,AndreaWhatley7,6.1,4.54,@theliz13 I have been using CBD since March and have had great results! I have been able to get off of both of my anxiety meds and it has been helping my Psoriasis. I use BioLief and I have found it has helped me more than the other brands I have tried. I recommend everyone to try CBD
11-19-18 19:35,wavviier,4.66,4.82,"btch I have to deal with these death threats, school frustrations, my financial crisis, social disappointment, anxiety and self doubt. E V E R Y Fvckn D A Y yeah ppl now tell me again that the reason behind my ""behavioral changes"" is caused by my involvement in relationship."
11-19-18 19:35,Doran_Eirok,5.92,4.67,"@TorinDarkflight Update! I've just seen it and I found it quite positive. It does miss out the LGBT element as you say, and brings up the sex assumption a bit, but mainly focuses on a few individuals with life challenges like anxiety, PTSD etc. and how the furry community has really helped them."
11-19-18 19:35,stephgarciaaaa,3.92,5.57,RT @ruckingfad: me when I start having an anxiety attack 2 hours after eating an edible https://t.co/qxDhkfl0SR
11-19-18 19:35,GonzaloAltuna_,5.3,4.5,"@lesegoseabi @AMEL_IS_AWESOME @aerincreer @gaylilbihhh Wow I be microwaving cup noodles cause y'know college kids be broke out here but bet! Didn't know I was increasing my chance of getting cancer! We lovethat on top of the stress, anxiety, and depression! Woo! ??"
11-19-18 19:35,VentunoYoga,5.9,4.27,Health Tips: 10 Healthy Foods That Help Reduce Anxiety : https://t.co/ak4CLmCupY #Health & Fitness
11-19-18 19:35,SeniorsAlive9,4.65,4.9,"Why don't you Laugh More, why? The surprising health benefits of #laughter : increasing endorphin levels, boosting the immune system, lowering blood pressure, cholesterol, reducing stress, anxiety and depression. #Inspiration #Quotes #Seniors #SeniorsAlive #Qdigital https://t.co/N7RggRBrNS"
11-19-18 19:35,vibentage,4.97,5.22,I hate MY FACIAL EXPRESSIONS. god it gives me anxiety.
11-19-18 19:35,EjAquino_,3.89,5.19,RT @recoveringarmy: @ boys with mental illness You are not less of a man because you have panic attacks. You are not less of a man because you have anxiety. You are not less of a man for having depression. You are not less of a man for having a mental illness. Period. #InternationalMensDay
11-19-18 19:35,BetweenBorders_,4.62,4.74,"From #Kiribati and #Bangladesh to #Alaska and #PuertoRico, #anxiety and #stress have increased in communities at the frontlines of #climatechange. With no legal protection for #climaterefugees/#climatemigrants, the future of relocation looks perilous https://t.co/vjOEYZThEL"
11-19-18 19:35,_SeanCooney,5,4.64,"RT @Beno_ldn: Just a quick message that if you stop being friends with someone because they're depressed or have anxiety you're a piece of dirty shit, why don t you try and do some research and understand what they are going through instead of making them feel even more lonely..."
11-19-18 19:36,suiphiadeth,2.16,5.13,RT @______idon: my anxiety kills me.???
11-19-18 19:36,Nwach,4.7,3.82,RT @TheNationNews: 2019 poll: Anxiety in PDP as Atiku s policy plan extends to second term https://t.co/xq4hcGBz3i
11-19-18 19:36,CherryWinxxx,4.52,4.55,nothing gives me more anxiety then making a dentist appointment ??
11-19-18 19:36,AaronNobroni,4.77,5.31,@PLTMOTl This gave me anxiety I was watching out for cars n shit
11-19-18 19:36,Aneeqah,5.24,4.42,I often have to remind myself to take life one day at a time because otherwise my anxiety takes over and I panic that my list of things to do will never get done and I'll be a failure and loser at life. Breathe in. Breathe out. https://t.co/XccX28yUC2
11-19-18 19:36,toricepeace,4.25,4.99,@iconicasma you developed social anxiety by the way
11-19-18 19:36,faziiie,5.14,4.52,LEGO Creates Building Set For Grown-Ups That Helps Reduce Stress And Anxiety https://t.co/ur2Fz6iplE
